DATE,PR,USER,TITLE,EMPLOYEE
2023-09-25T21:25:42Z,https://github.com/hashicorp/terraform/pull/33940,gdavison,backend/s3: Supports S3 buckets with Object Lock,Y
2023-09-25T11:23:43Z,https://github.com/hashicorp/terraform/pull/33938,teamterraform,Backport of Fix panic when tests on TFC exit early into v1.6,Y
2023-09-25T04:01:39Z,https://github.com/hashicorp/terraform/pull/33937,notone0010,Feature/ks3 backend,N
2023-09-22T20:21:13Z,https://github.com/hashicorp/terraform/pull/33934,yarikoptic,"Codespell: add workflow, config and some typos fixed",N
2023-09-22T20:03:55Z,https://github.com/hashicorp/terraform/pull/33933,teamterraform,Backport of backend/s3: Adds `source_identity` to `assume_role` block into v1.6,Y
2023-09-22T17:20:49Z,https://github.com/hashicorp/terraform/pull/33932,jbardin,Import block expansion with for_each,Y
2023-09-22T15:11:12Z,https://github.com/hashicorp/terraform/pull/33930,liamcervante,Refactor cloud test run cancellation logic to always intercept signals,Y
2023-09-22T13:17:20Z,https://github.com/hashicorp/terraform/pull/33929,liamcervante,Fix panic when tests on TFC exit early,Y
2023-09-22T05:40:21Z,https://github.com/hashicorp/terraform/pull/33928,teamterraform,Backport of [Docs Fix] Add table for run block in testing docs and remove doubled notes into v1.6,Y
2023-09-21T20:44:32Z,https://github.com/hashicorp/terraform/pull/33926,rkoron007,[Docs Fix] Add table for run block in testing docs and remove doubled notes,Y
2023-09-21T17:17:08Z,https://github.com/hashicorp/terraform/pull/33925,radditude,use latest backport-assistant,Y
2023-09-21T16:39:29Z,https://github.com/hashicorp/terraform/pull/33924,kmoe,Backport to v1.6: Fix mock provider ImportState data race ,Y
2023-09-21T16:35:01Z,https://github.com/hashicorp/terraform/pull/33923,teamterraform,Backport of Fix mock provider ImportState data race into v1.6,Y
2023-09-21T09:55:10Z,https://github.com/hashicorp/terraform/pull/33921,kmoe,Fix mock provider ImportState data race,Y
2023-09-20T09:25:15Z,https://github.com/hashicorp/terraform/pull/33917,Naveen161295,User1 commit,N
2023-09-19T18:42:17Z,https://github.com/hashicorp/terraform/pull/33913,teamterraform,Backport of backend/s3: set required or optional for single nested attributes into v1.6,Y
2023-09-19T16:21:30Z,https://github.com/hashicorp/terraform/pull/33912,mrpavan,Update requirements.mdx,N
2023-09-19T12:56:54Z,https://github.com/hashicorp/terraform/pull/33909,teamterraform,Backport of import blocks are evaluated in the root module into v1.6,Y
2023-09-18T22:40:06Z,https://github.com/hashicorp/terraform/pull/33906,gdavison,Backport of backend/s3: Add wrong bucket region handling to all of S3 client into v1.6,Y
2023-09-15T19:02:33Z,https://github.com/hashicorp/terraform/pull/33902,jar-b,configschema: CoerceValue error for omitted attribute requirements,Y
2023-09-15T18:00:59Z,https://github.com/hashicorp/terraform/pull/33901,jar-b,backend/s3: set required or optional for single nested attributes,Y
2023-09-14T19:23:31Z,https://github.com/hashicorp/terraform/pull/33899,gdavison,backend/s3: Adds `source_identity` to `assume_role` block,Y
2023-09-14T16:07:04Z,https://github.com/hashicorp/terraform/pull/33897,jbardin,import blocks are evaluated in the root module,Y
2023-09-14T09:42:24Z,https://github.com/hashicorp/terraform/pull/33895,teamterraform,Backport of Fix typo in login link from test command doc page into v1.6,Y
2023-09-14T07:44:37Z,https://github.com/hashicorp/terraform/pull/33894,teamterraform,Backport of Add additional validation around unknown and null values in test variables into v1.6,Y
2023-09-14T07:01:48Z,https://github.com/hashicorp/terraform/pull/33893,teamterraform,Backport of Implement TFC integration for private module registry test runs into v1.6,Y
2023-09-14T06:49:10Z,https://github.com/hashicorp/terraform/pull/33892,liamcervante,Fix typo in login link from test command doc page,Y
2023-09-14T06:47:57Z,https://github.com/hashicorp/terraform/pull/33891,teamterraform,Backport of Add warning when testing and combining expect_failures with apply operations into v1.6,Y
2023-09-14T06:33:54Z,https://github.com/hashicorp/terraform/pull/33890,teamterraform,Backport of Apply defaults when processing variables for assertions into v1.6,Y
2023-09-14T06:22:35Z,https://github.com/hashicorp/terraform/pull/33889,liamcervante,Manual backport of Add cloud-run documentation for testing framework in v1.6,Y
2023-09-14T06:17:11Z,https://github.com/hashicorp/terraform/pull/33888,teamterraform,Backport of Add cloud-run documentation for testing framework into v1.6,Y
2023-09-13T22:49:46Z,https://github.com/hashicorp/terraform/pull/33886,teamterraform,Backport of backend/s3: Adds `singleNestedAttribute` to internal schema into v1.6,Y
2023-09-13T22:09:42Z,https://github.com/hashicorp/terraform/pull/33885,gdavison,backend/s3: Add wrong bucket region handling to all of S3 client,Y
2023-09-13T17:42:59Z,https://github.com/hashicorp/terraform/pull/33883,teamterraform,Backport of backend/s3: Handles case when bucket is requested from wrong region into v1.6,Y
2023-09-12T23:06:50Z,https://github.com/hashicorp/terraform/pull/33881,gdavison,backend/s3: Handles case when bucket is requested from wrong region,Y
2023-09-12T16:37:13Z,https://github.com/hashicorp/terraform/pull/33879,teamterraform,Backport of Improve error message when S3 state checksums don't line up into v1.6,Y
2023-09-12T13:41:03Z,https://github.com/hashicorp/terraform/pull/33877,teamterraform,Backport of backend/s3: prevent keys containing double slashes into v1.6,Y
2023-09-12T09:08:32Z,https://github.com/hashicorp/terraform/pull/33875,liamcervante,Add cloud-run documentation for testing framework,Y
2023-09-12T04:36:17Z,https://github.com/hashicorp/terraform/pull/33873,yashx,Support conditionally auto loading tfvars on workspace,N
2023-09-11T22:22:19Z,https://github.com/hashicorp/terraform/pull/33872,gdavison,backend/s3: Adds `singleNestedAttribute` to internal schema,Y
2023-09-11T21:27:10Z,https://github.com/hashicorp/terraform/pull/33871,crw,Small rewrite of Contrib to better reflect current practices.,Y
2023-09-11T19:13:57Z,https://github.com/hashicorp/terraform/pull/33870,teamterraform,Backport of website: DynamoDB now supports fine-grain IAM policies into v1.6,Y
2023-09-11T18:39:01Z,https://github.com/hashicorp/terraform/pull/33869,jar-b,backend/s3: prevent keys containing double slashes,Y
2023-09-11T16:51:58Z,https://github.com/hashicorp/terraform/pull/33868,liamcervante,Add warning when testing and combining expect_failures with apply operations,Y
2023-09-11T13:23:35Z,https://github.com/hashicorp/terraform/pull/33867,liamcervante,Apply defaults when processing variables for assertions,Y
2023-09-11T11:33:34Z,https://github.com/hashicorp/terraform/pull/33865,teamterraform,Backport of build with Go 1.21.1 into v1.6,Y
